                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 1.3947,                0.86937,                 1.1843,                0.81908,                0.61498,                0.73107,                0.46292,                 1.2899,                0.76747,                 1.1566,              0.0089902,              0.0089902,              0.0089902
                     53,                 1.3963,                0.86637,                  1.188,                0.81602,                 0.6167,                0.73176,                0.46419,                 1.2858,                0.76535,                 1.1557,              0.0089704,              0.0089704,              0.0089704
                     54,                 1.3924,                0.86579,                 1.1847,                 0.8139,                0.61672,                0.73245,                0.46401,                 1.2892,                0.76608,                 1.1568,              0.0089506,              0.0089506,              0.0089506
                     55,                 1.3942,                0.86652,                 1.1859,                0.81534,                0.61779,                0.73277,                0.46458,                  1.287,                0.76402,                 1.1555,              0.0089308,              0.0089308,              0.0089308
                     56,                 1.3919,                0.86368,                 1.1851,                0.81001,                0.62084,                0.73192,                 0.4642,                  1.287,                0.76108,                 1.1561,               0.008911,               0.008911,               0.008911
                     57,                 1.3934,                0.86525,                 1.1837,                0.81594,                0.61918,                0.73278,                0.46546,                 1.2855,                0.76301,                 1.1544,              0.0088912,              0.0088912,              0.0088912
                     58,                 1.3911,                0.86076,                 1.1827,                0.81944,                  0.617,                0.73202,                0.46466,                 1.2863,                0.75984,                 1.1551,              0.0088714,              0.0088714,              0.0088714
                     59,                 1.3883,                0.85908,                 1.1816,                 0.8164,                0.61872,                0.73379,                0.46542,                 1.2884,                 0.7585,                 1.1549,              0.0088516,              0.0088516,              0.0088516
                     60,                 1.3888,                0.85888,                 1.1821,                 0.8161,                0.62052,                0.73458,                0.46525,                 1.2884,                0.75573,                 1.1566,              0.0088318,              0.0088318,              0.0088318
                     61,                 1.3892,                0.85753,                 1.1813,                0.80894,                0.62354,                0.73503,                 0.4662,                 1.2853,                0.75592,                 1.1557,               0.008812,               0.008812,               0.008812
                     62,                 1.3872,                0.85882,                 1.1804,                0.81132,                0.61998,                0.73343,                0.46596,                 1.2837,                 0.7562,                 1.1537,              0.0087922,              0.0087922,              0.0087922
                     63,                 1.3846,                0.85669,                 1.1788,                0.80973,                0.62523,                0.73355,                0.46582,                 1.2822,                0.75607,                  1.154,              0.0087724,              0.0087724,              0.0087724
                     64,                 1.3817,                0.85187,                 1.1764,                 0.8134,                0.62105,                0.73496,                 0.4655,                  1.288,                0.75416,                  1.155,              0.0087526,              0.0087526,              0.0087526
                     65,                 1.3828,                0.85237,                 1.1766,                0.81353,                0.61827,                0.73388,                0.46547,                 1.2862,                0.75392,                 1.1548,              0.0087328,              0.0087328,              0.0087328
                     66,                 1.3801,                0.85034,                 1.1774,                0.80959,                0.62351,                0.73552,                0.46536,                 1.2868,                 0.7517,                 1.1556,               0.008713,               0.008713,               0.008713
                     67,                 1.3821,                0.85208,                 1.1773,                0.81321,                0.62449,                0.73657,                0.46632,                 1.2876,                  0.751,                 1.1549,              0.0086932,              0.0086932,              0.0086932
                     68,                 1.3824,                0.85133,                 1.1796,                0.81184,                0.62245,                0.73415,                 0.4663,                 1.2842,                0.75158,                  1.154,              0.0086734,              0.0086734,              0.0086734
