                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.06591,                0.06038,                0.82675,                      1,                      1,                  0.995,                0.99496,                0.04549,                0.04086,                 0.6777,               0.008053,               0.008053,               0.008053
                     61,                0.06536,                0.05962,                0.82644,                      1,                      1,                  0.995,                0.99496,                0.04498,                 0.0409,                 0.6777,                0.00802,                0.00802,                0.00802
                     62,                0.06515,                0.06019,                0.82651,                      1,                      1,                  0.995,                0.99495,                0.04419,                0.04026,                0.67754,               0.007987,               0.007987,               0.007987
                     63,                0.06476,                   0.06,                0.82645,                      1,                      1,                  0.995,                0.99496,                0.04422,                0.03993,                0.67745,               0.007954,               0.007954,               0.007954
                     64,                0.06484,                0.06046,                0.82655,                      1,                      1,                  0.995,                0.99496,                0.04502,                0.03996,                0.67734,               0.007921,               0.007921,               0.007921
                     65,                0.06592,                0.06196,                0.82663,                      1,                      1,                  0.995,                0.99496,                0.04588,                0.04048,                0.67749,               0.007888,               0.007888,               0.007888
                     66,                0.06652,                0.06113,                0.82748,                      1,                      1,                  0.995,                0.99495,                0.04564,                0.04049,                0.67754,               0.007855,               0.007855,               0.007855
                     67,                0.06531,                0.06044,                0.82689,                      1,                      1,                  0.995,                0.99496,                0.04616,                0.04095,                0.67774,               0.007822,               0.007822,               0.007822
                     68,                0.06481,                0.06001,                0.82655,                      1,                      1,                  0.995,                0.99495,                 0.0454,                0.04538,                0.67795,               0.007789,               0.007789,               0.007789
                     69,                0.06505,                0.06134,                0.82674,                      1,                      1,                  0.995,                0.99496,                0.04493,                0.04253,                0.67748,               0.007756,               0.007756,               0.007756
                     70,                0.06438,                0.05916,                0.82688,                      1,                      1,                  0.995,                0.99495,                0.04477,                0.04133,                0.67724,               0.007723,               0.007723,               0.007723
                     71,                0.06412,                0.05883,                0.82679,                      1,                      1,                  0.995,                0.99496,                0.04446,                0.04201,                0.67724,                0.00769,                0.00769,                0.00769
                     72,                0.06368,                0.05835,                 0.8271,                      1,                      1,                  0.995,                0.99496,                0.04402,                0.04162,                 0.6773,               0.007657,               0.007657,               0.007657
                     73,                0.06273,                0.05699,                0.82622,                      1,                      1,                  0.995,                0.99496,                0.04383,                0.03939,                0.67742,               0.007624,               0.007624,               0.007624
                     74,                0.06252,                0.05713,                0.82649,                      1,                      1,                  0.995,                0.99495,                0.04373,                 0.0384,                0.67749,               0.007591,               0.007591,               0.007591
                     75,                0.06343,                0.05872,                0.82717,                      1,                      1,                  0.995,                0.99496,                0.04412,                0.04031,                0.67771,               0.007558,               0.007558,               0.007558
                     76,                0.06398,                0.05843,                0.82685,                      1,                      1,                  0.995,                0.99495,                 0.0452,                0.03951,                 0.6776,               0.007525,               0.007525,               0.007525
                     77,                0.06278,                0.05765,                0.82686,                      1,                      1,                  0.995,                0.99496,                0.04566,                0.04118,                0.67779,               0.007492,               0.007492,               0.007492
                     78,                0.06213,                0.05745,                 0.8261,                      1,                      1,                  0.995,                0.99496,                0.04417,                0.04249,                0.67768,               0.007459,               0.007459,               0.007459
                     79,                0.06277,                0.05849,                0.82604,                      1,                      1,                  0.995,                0.99495,                0.04394,                0.04737,                0.67732,               0.007426,               0.007426,               0.007426
                     80,                0.06336,                0.05849,                0.82687,                      1,                      1,                  0.995,                0.99495,                0.04312,                 0.0447,                0.67737,               0.007393,               0.007393,               0.007393
